InstitutionName,State,CurrentAdmissionsTestingPolicy
Aaniiih Nakoda College,MT,Test Optional
Abilene Christian University,TX,Test Optional
Abraham Lincoln University,CA,Test Optional
Academy College,MN,Test Optional
Academy of Art University,CA,Test Optional
Adams State University,CO,Test Optional
AdventHealth University,FL,Test Optional
Agape College of Business and Science,CA,Test Optional
Agnes Scott College,GA,Test Optional
Alabama A & M University,AL,Test Optional
Alabama State University,AL,Test Optional
Alaska Pacific University,AK,Test Free
Albany College of Pharmacy and Health Sciences,NY,Test Optional
Albertus Magnus College,CT,Test Optional
Albion College,MI,Test Optional
Albizu University-Miami,FL,Test Optional
Albright College,PA,Test Optional
Alice Lloyd College,KY,Test Optional
Allegheny College,PA,Test Optional
Allen College,IA,Test Optional
Allen University,SC,Test Optional
Alliant International University-San Diego,CA,Test Optional
Alma College,MI,Test Optional
Alpena Community College,MI,Test Optional
Alverno College,WI,Test Optional
Amberton University,TX,Test Free
America Evangelical University,CA,Test Optional
American Baptist College,TN,Test Optional
American Business and Technology University,MO,Test Optional
American InterContinental University,--,Test Optional
American InterContinental University-Atlanta,GA,Test Optional
American InterContinental University-Houston,TX,Test Optional
American International College,MA,Test Optional
American Islamic College,IL,Test Optional
American Medical Academy,FL,Test Optional
American Medical Sciences Center,CA,Test Optional
American Musical and Dramatic Academy,NY,Test Optional
American National University,VA,Test Optional
American National University-Pikeville,KY,Test Optional
American Public University System,--,Test Optional
American Samoa Community College,AS,Test Optional
American University,DC,Test Optional
American University of Health Sciences,CA,Test Optional
Amherst College,MA,Test Optional
Amridge University,--,Test Optional
Ana G. Mendez University,FL,Test Optional
Anderson University,IN,Test Optional
Anderson University,SC,Test Optional
Andrew College,GA,Test Optional
Andrews University,MI,Test Optional
Angeles College,CA,Test Optional
Angelo State University,TX,Test Optional
Anna Maria College,MA,Test Optional
Antelope Valley Community College District,CA,Test Optional
Antigua College International,FL,Test Optional
Antioch College,OH,Test Optional
Apex School of Theology,NC,Test Optional
Appalachian Bible College,WV,Test Optional
Aquinas College,MI,Test Optional
Arapahoe Community College,CO,Test Optional
Arcadia University,PA,Test Optional
Arizona Christian University,AZ,Test Optional
Arizona College of Nursing-Salt Lake City,UT,Test Optional
Arizona State University Campus Immersion,AZ,Test Optional
Arkansas Baptist College,AR,Test Optional
Arkansas State University,AR,Test Optional
Arlington Baptist University,TX,Test Optional
Art Academy of Cincinnati,OH,Test Optional
Art Center College of Design,CA,Test Optional
Asbury University,KY,Test Optional
Ascent College,VA,Test Optional
Ashland University,OH,Test Optional
Aspen University,AZ,Test Optional
Assumption University,MA,Test Optional
Atenas College,PR,Test Optional
ATI College-Whittier,CA,Test Optional
Atlantic University College,PR,Test Optional
Atlantis University,FL,Test Optional
Atlantis University-Florida Palms University,FL,Test Optional
Auburn University,AL,Test Optional
Augsburg University,MN,Test Free
Augustana College,IL,Test Optional
Augustana University,SD,Test Optional
Aultman College of Nursing and Health Sciences,OH,Test Optional
Aurora University,IL,Test Optional
Austin College,TX,Test Optional
Austin Peay State University,TN,Test Optional
Averett University,VA,Test Optional
Averett University-Non-Traditional Programs,VA,Test Optional
Aviator College of Aeronautical Science and Technology,FL,Test Optional
Avila University,MO,Test Optional
Azusa Pacific University,CA,Test Optional
Babson College,MA,Test Optional
Baker College,MI,Test Optional
Baker University,KS,Test Optional
Bakersfield College,CA,Test Optional
Baldwin Wallace University,OH,Test Optional
Ball State University,IN,Test Optional
Baptist Bible College,MO,Test Optional
Baptist Missionary Association Theological Seminary,TX,Test Optional
Baptist University of the Americas,TX,Test Optional
Barclay College,KS,Test Optional
Bard College,NY,Test Optional
Bard College at Simon's Rock,MA,Test Optional
Barry University,FL,Test Optional
Barton College,NC,Test Optional
Bates College,ME,Test Optional
Bay Mills Community College,MI,Test Optional
Bay Path University,MA,Test Optional
Bay State College,MA,Test Optional
Beacon College,FL,Test Optional
Beal University,ME,Test Optional
Beckfield College-Florence,KY,Test Optional
Beis Medrash Heichal Dovid,NY,Test Optional
Belhaven University,MS,Test Optional
Bellarmine University,KY,Test Optional
Bellevue College,WA,Test Optional
Bellevue University,NE,Test Optional
Bellin College,WI,Test Optional
Bellingham Technical College,WA,Test Optional
Belmont Abbey College,NC,Test Optional
Belmont University,TN,Test Optional
Beloit College,WI,Test Optional
Bemidji State University,MN,Test Optional
Benedict College,SC,Test Optional
Benedictine College,KS,Test Optional
Benedictine University,IL,Test Optional
Benjamin Franklin Cummings Institute of Technology,MA,Test Optional
Bennett College,NC,Test Optional
Bennington College,VT,Test Optional
Berea College,KY,Test Optional
Bergin Universiy,CA,Test Optional
Berkeley College-New York,NY,Test Optional
Berkeley College-Woodland Park,NJ,Test Optional
Berklee College of Music,MA,Test Optional
Berry College,GA,Test Optional
Beth Medrash Govoha,NJ,Test Optional
Bethany College,WV,Test Optional
Bethany College,KS,Test Optional
Bethany Global University,MN,Test Optional
Bethany Lutheran College,MN,Test Optional
Bethel College-North Newton,KS,Test Optional
Bethel University,MN,Test Optional
Bethel University,TN,Test Optional
Bethel University,IN,Test Optional
Bethesda University,CA,Test Optional
Bethune-Cookman University,FL,Test Optional
Beulah Heights University,GA,Test Optional
Beverly Hills Design Institute,CA,Test Optional
Binghamton University,NY,Test Optional
Biola University,CA,Test Optional
Bismarck State College,ND,Test Optional
Black Hills State University,SD,Test Optional
Blackburn College,IL,Test Optional
Bloomfield College,NJ,Test Optional
Bloomsburg University of Pennsylvania,PA,Test Optional
Bluefield State University,WV,Test Optional
Bluefield University,VA,Test Optional
Bluffton University,OH,Test Optional
Bob Jones University,SC,Test Optional
Boise State University,ID,Test Free
Boricua College,NY,Test Optional
Boston Architectural College,MA,Test Optional
Bowdoin College,ME,Test Optional
Bowie State University,MD,Test Optional
Bowling Green State University-Firelands,OH,Test Optional
Bradley University,IL,Test Free
Brandeis University,MA,Test Optional
Brazosport College,TX,Test Optional
Brenau University,GA,Test Optional
Brescia University,KY,Test Optional
Brevard College,NC,Test Optional
Brewton-Parker College,GA,Test Optional
Bridgewater College,VA,Test Optional
Bridgewater State University,MA,Test Optional
Broadview College,UT,Test Optional
Brookline College-Albuquerque,NM,Test Optional
Brookline College-Phoenix,AZ,Test Optional
Brookline College-Tempe,AZ,Test Optional
Brookline College-Tucson,AZ,Test Optional
Broward College,FL,Test Optional
Bryan College of Health Sciences,NE,Test Optional
Bryan College-Dayton,TN,Test Optional
Bryan University,AZ,Test Optional
Bryan University,MO,Test Optional
Bryant & Stratton College-Albany,NY,Test Optional
Bryant & Stratton College-Buffalo,NY,Test Optional
Bryant & Stratton College-Greece,NY,Test Optional
Bryant & Stratton College-Parma,OH,Test Optional
Bryant & Stratton College-Syracuse North,NY,Test Optional
Bryant & Stratton College-Virginia Beach,VA,Test Optional
Bryant & Stratton College-Wauwatosa,WI,Test Optional
Bryant University,RI,Test Optional
Bryn Athyn College of the New Church,PA,Test Optional
Bryn Mawr College,PA,Test Optional
Buena Vista University,IA,Test Optional
Bushnell University,OR,Test Optional
Butler University,IN,Test Optional
Cairn University-Langhorne,PA,Test Optional
Caldwell University,NJ,Test Optional
California Aeronautical University,CA,Test Optional
California Baptist University,CA,Test Free
California Christian College,CA,Test Optional
California College of the Arts,CA,Test Optional
California Institute of Arts & Technology,CA,Test Optional
California Institute of Arts & Technology-National City,CA,Test Optional
California Institute of the Arts,CA,Test Optional
California Intercontinental University,--,Test Optional
California Jazz Conservatory,CA,Test Optional
California Lutheran University,CA,Test Optional
California Miramar University,CA,Test Optional
California Northstate University,CA,Test Optional
California Polytechnic State University-San Luis Obispo,CA,Test Free
California State Polytechnic University-Humboldt,CA,Test Free
California State Polytechnic University-Pomona,CA,Test Free
California State University Maritime Academy,CA,Test Free
California State University-Bakersfield,CA,Test Free
California State University-Channel Islands,CA,Test Free
California State University-Chico,CA,Test Free
California State University-Dominguez Hills,CA,Test Free
California State University-East Bay,CA,Test Free
California State University-Fresno,CA,Test Free
California State University-Fullerton,CA,Test Free
California State University-Long Beach,CA,Test Free
California State University-Los Angeles,CA,Test Free
California State University-Monterey Bay,CA,Test Free
